NRUN	NEvent	NtrackX	NtrackY	Ntrack	Theta	Phi	IdEv	Nview	Sdet
812	875706	5	5	5	53.3	153.8	0	5	31.9599
812	881403	5	5	5	64.31	130.01	0	5	33.0652
812	891282	10	9	8	41.14	208.2	0	8	25.8219
812	891477	5	3	3	42.76	111.24	0	5	19.1743
812	892734	12	9	9	52.88	216.07	0	11	31.2725
812	906898	6	6	6	50.37	236.73	0	6	26.1297
812	909849	5	4	4	41.53	245.39	0	5	19.7643
812	915037	5	5	5	72.95	249.82	0	5	27.7365
812	922743	6	5	5	44.92	145.76	0	5	27.5878
812	931102	5	5	5	41.58	136.9	0	5	24.878
